Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
31120659,The Economy of Cities,Jane Jacobs,"Jacobs, Jane",,"=""0525432868""","=""""",0,4.10,Vintage,Kindle Edition,262,2016,1969,,2018/12/15,to-read,to-read (#2),to-read,,,,0,0
19306665,On the Shortness of Life,Seneca,"Seneca, Seneca",Charles Desmond Nuttall Costa,"=""""","=""""",5,4.18,Penguin Books,Kindle Edition,111,2005,49,2015/01/05,2015/01/05,,,read,,,,1,0
25773347,"The Complete Works of Fyodor Dostoyevsky: Novels, Short Stories and Autobiographical Writings: The Entire Opus of the Great Russian Novelist, Journalist ... The Idiot, Notes from the Underground...",Fyodor Dostoevsky,"Dostoevsky, Fyodor","Fyodor Dostoyevsky, Constance Garnett, C.J. Hogarth","=""8026837894""","=""9788026837893""",0,4.54,e-artnow ebooks,Kindle Edition,7718,2015,1954,,2015/11/28,to-read,to-read (#1),to-read,,,,0,0
6632331,"Exploratory Search: Beyond the Query-Response Paradigm (Synthesis Lectures on Information Concepts, Retrieval & Services)",Ryen White,"White, Ryen",Resa A. Roth,"=""159829783X""","=""9781598297836""",0,4.67,Morgan and Claypool Publishers,Paperback,108,2009,2009,2018/11/25,2015/12/09,,,read,,,,1,0
10251325,Process and Reality,Alfred North Whitehead,"Whitehead, Alfred North",,"=""""","=""""",0,4.20,,Kindle Edition,452,,1929,2018/11/25,2016/01/27,,,read,,,,1,0
8175234,History of Madness,Michel Foucault,"Foucault, Michel","Jean Khalfa, Jonathan Murphy","=""""","=""""",0,4.09,Routledge,ebook,736,2013,1961,,2015/12/03,,,read,,,,1,0
8723786,The Concept of Nature: The Tarner Lectures Delivered in Trinity College 11/1919,Alfred North Whitehead,"Whitehead, Alfred North",,"=""""","=""""",3,3.79,,Kindle Edition,,,1920,2016/01/27,2015/12/13,,,read,"<strong>Interesting exposition but could be more plainly written</strong><br/><br/>Whiteheads thesis in this book is outlines a structure for understanding nature in a novel way that, once you penetrate the writing has coherence. It won't give you a modern view but would make interesting reading for anyone interested in metaphysics. The only area lacking is that his symbolism is hard to follow and his coinage of new words unnecessary. Otherwise a pleasant challenge to read. ",,,1,0
19185075,Wired for Culture: Origins of the Human Social Mind,Mark Pagel,"Pagel, Mark",,"=""""","=""""",0,3.88,W. W. Norton & Company,Kindle Edition,431,2012,2012,,2015/12/03,,,read,,,,1,0
22549635,"Suicide, a study in sociology:",Émile Durkheim,"Durkheim, Émile",,"=""""","=""""",0,3.85,,Kindle Edition,398,2012,1897,,2015/12/03,,,read,,,,1,0
19049131,The Stuff of Thought: Language as a Window into Human Nature,Steven Pinker,"Pinker, Steven",,"=""""","=""""",0,3.91,Penguin,Kindle Edition,524,2008,2007,,2015/12/03,,,read,,,,1,0
6447331,Pragmatism,William  James,"James, William",,"=""""","=""""",0,3.89,,Kindle Edition,133,,1907,,2015/12/03,,,read,,,,1,0
19335404,Mere Possibilities: Metaphysical Foundations of Modal Semantics (Carl G. Hempel Lecture Series Book 2),Robert C. Stalnaker,"Stalnaker, Robert C.",,"=""""","=""""",0,3.78,Princeton University Press,Kindle Edition,182,2011,2011,,2015/12/03,,,read,,,,1,0
15788803,A Letter to a Hindu,Leo Tolstoy,"Tolstoy, Leo",,"=""""","=""""",0,3.77,Public Domain Books,Kindle Edition,17,2012,1908,,2015/12/03,,,read,,,,1,0
